Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity,data_origin,is_real,source_artifact_id,source_row,annotation_origin,verification_status
Provide re-bars in skylight frame to avoid fall if skylight should break.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,87,source_published_record,source_published_record_unreviewed
Guard  every skylight opening and hole by skylight screen or a fixed standard railing on all exposed sides.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,88,source_published_record,source_published_record_unreviewed
Install permanent anchorage points on roof slabs to provide permanent anchor points for fall arrest systems.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,89,source_published_record,source_published_record_unreviewed
"If a walkway on a roof  is to be designed for equipment operation and maintenance, the related requirements must be followed. Link …..",,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,90,source_published_record,source_published_record_unreviewed
"Once roof anchors are  installed ,it is generally the responsibility of the building owner to inspect and maintain roof anchors to ensure their continued and reliable performance.",,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,91,source_published_record,source_published_record_unreviewed
Contractor should identify all remaining opening/edges and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,92,source_published_record,source_published_record_unreviewed
Design components to facilitate prefabrication at ground level and erection as complete assemblies.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,93,source_published_record,source_published_record_unreviewed
Designers should consider the sequences of construction between the temporary state and the finished state.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,94,source_published_record,source_published_record_unreviewed
Minimize number of offsets in building plan and make offsets a consistent size and as large as possible to simplify work area for construction workers.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,95,source_published_record,source_published_record_unreviewed
"Where possible, specify shop welded connections instead of bolts or field welds to avoid dangerous or awkward positions for the welder or connector.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,96,source_published_record,source_published_record_unreviewed
Ensure swl floor slabs is adequate to support MEWPs  for fixing at height. ,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,97,source_published_record,source_published_record_unreviewed
Provide adequate safety standards for installing joist.,,Preliminary Design,Inform,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,98,source_published_record,source_published_record_unreviewed
Avoid hanging connections—design to bear on columns instead. ,,Detail Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,99,source_published_record,source_published_record_unreviewed
Avoid connections or protrusions above floor framing members,,Detail Design,Eliminate,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,100,source_published_record,source_published_record_unreviewed
"Specify safety seats for beam connections, markings for orientation, and secure connections and anchoring systems.",,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,101,source_published_record,source_published_record_unreviewed
Use safety nets or soft landing bags to mitigate consequences of falls between joists,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,102,source_published_record,source_published_record_unreviewed
Design adequate anchorage points for fall restraint systems,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,103,source_published_record,source_published_record_unreviewed
Use of harness at heights,,Pre construction,Inform,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,104,source_published_record,source_published_record_unreviewed
Establish a clear and consistent beam marking system to help workers orient themselves to hazards in certain sections of the structure and increase erection speed.,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,105,source_published_record,source_published_record_unreviewed
Contractor should identify all remaining beam spacing and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Between Joist,Frame/beam,Physical-Spacing,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,106,source_published_record,source_published_record_unreviewed
Avoid designing In-situ stairways.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,107,source_published_record,source_published_record_unreviewed
Consider using prefabricated or ground-assembled stairways which can be erected as one assembly.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,108,source_published_record,source_published_record_unreviewed
"If in-stu are unavoidable , consider designing stairs that can be built using stair-masters, which are with permanent framework and permanent rails pre-attached.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,109,source_published_record,source_published_record_unreviewed
"Locate exterior stairs and ramps on the sheltered side of the structure (parallel to the building) to protect them from rain, snow, and ice.",,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,110,source_published_record,source_published_record_unreviewed
Ensure erection of stairs  is sequenced so that stairs and handrails can go in as early as possible to provide safe access to high levels of the structure;,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,111,source_published_record,source_published_record_unreviewed
Allow time and resources during design to identify risks associated with starwells and evaluate alternative treatments,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,112,source_published_record,source_published_record_unreviewed
"Consider whether early fixing of stairs will benefit emergency evacuation, or access by all trades",,Preliminary Design,Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,113,source_published_record,source_published_record_unreviewed
Avoid stair landings constructed separate from the stairs.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,114,source_published_record,source_published_record_unreviewed
Maintain a uniform stair slope throughout the project.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,115,source_published_record,source_published_record_unreviewed
The spacing between vertical stair rails should be less than 100 mm to prevent children’s legs from slipping through the gap.,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,116,source_published_record,source_published_record_unreviewed
Provide railing on all exposed sides (except at entrance to stairway),,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,117,source_published_record,source_published_record_unreviewed
An alternative to guard rails or a barrier is to cover the opening or material. Any covering should be strong enough to support any loads likely to be placed on it (including the weight of a person); and  fixed in position to prevent accidental dislodgement. ,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,118,source_published_record,source_published_record_unreviewed
Specify staircases to have sockets casted in the concrete or welded in steel sections on open sides/edges to fix guardrails during construction.,,Detail Design,Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,119,source_published_record,source_published_record_unreviewed
Ensure costs allowed for in schedule for mitigation measures required,,Detail Design,Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,120,source_published_record,source_published_record_unreviewed
Provide engineering documents and schedule permanent stairways to be constructed as soon as possible.,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,121,source_published_record,source_published_record_unreviewed
"Design and schedule handrails, guardrails, and stair rails to be erected as part of the structural steel erection.",,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,122,source_published_record,source_published_record_unreviewed
Fix guard rails as early as possible to protect openings in slabs,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,123,source_published_record,source_published_record_unreviewed
Supervise inspections of all openings in slab on a regular basis  to ensure safety measures are maintained,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,124,source_published_record,source_published_record_unreviewed
"To prevent people removing coverings, mark them with warnings to prevent standing on the covering",,Pre construction,Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,125,source_published_record,source_published_record_unreviewed
"Establish survey control ""permanently"" so that when structures are erected, survey control monuments are still accessible.",,"Site work, Temp Works, Change control",Reduce,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,126,source_published_record,source_published_record_unreviewed
Provide broom finish on all exposed concrete stair surfaces,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,127,source_published_record,source_published_record_unreviewed
Mitigate falls by using work equipment to minimise the distance and consequences of a fall and protect all those at risk (eg nets or soft landing systems positioned under any exposed openings),,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,128,source_published_record,source_published_record_unreviewed
Contractor should identify all remaining stairs and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening - Stairwell,Stair,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,129,source_published_record,source_published_record_unreviewed
Use prefabricated riser on buildings,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,130,source_published_record,source_published_record_unreviewed
Design of temporary works for gaining access at height in shaft.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,131,source_published_record,source_published_record_unreviewed
Chases or holes should be detailed to be cast into the unit and not cut or drilled later,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,132,source_published_record,source_published_record_unreviewed
Information on permanent walls,,Detail Design,Inform,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,133,source_published_record,source_published_record_unreviewed
"Mount emergency lighting in stairwells to be easily accessible, and avoid locations over treads.",,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,134,source_published_record,source_published_record_unreviewed
Cast in provision for guardrails at shaft openings.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,135,source_published_record,source_published_record_unreviewed
Information to contractor -specify activities that will require access at height to shaft to resource and plan for access measures,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,136,source_published_record,source_published_record_unreviewed
Competent person to sign off any access arrangements at height in the shaft,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening - Shaft,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,137,source_published_record,source_published_record_unreviewed
Maximize prefabrication on the ground level  and minimize the need of fixing in heights.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,138,source_published_record,source_published_record_unreviewed
Liaise with contractor  to identify the most appropriate edge protection,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,139,source_published_record,source_published_record_unreviewed
Davits can be installed to provide a permanent suspension system.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,140,source_published_record,source_published_record_unreviewed
Monorail systems can be installed be used to suspend work platforms.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,141,source_published_record,source_published_record_unreviewed
Reduce the need to handle heavy glazing units. ,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,142,source_published_record,source_published_record_unreviewed
Develop cladding details to provide primary attachments that are safe and easy to use in all locations,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,143,source_published_record,source_published_record_unreviewed
Design elements so that they can be cleaned and replaced safely.,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,144,source_published_record,source_published_record_unreviewed
Locate to be easily accessible by maintenance staff.,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,145,source_published_record,source_published_record_unreviewed
If bespoke cladding to be used - carry out design review with specialist contractor and suppliers,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,146,source_published_record,source_published_record_unreviewed
Coordinate with structure engineers to ensure primary fixings are safe and easy to install.,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,147,source_published_record,source_published_record_unreviewed
"Ensure the safe access for cleaning, inspection and maintenance.",,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,148,source_published_record,source_published_record_unreviewed
Provide roof anchor points for using harness for cleaning near edges.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,149,source_published_record,source_published_record_unreviewed
Conisder operable windows for cleaning from inside.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,150,source_published_record,source_published_record_unreviewed
Consider access needs for cherry pickers for maintenace and cleaning,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,151,source_published_record,source_published_record_unreviewed
Maximize the use of mechanical handling.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Cladding,Task-Lifting,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,152,source_published_record,source_published_record_unreviewed
"Where practical, specify prefabricated roof structures, rather than individual members.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,153,source_published_record,source_published_record_unreviewed
Consider designing low-pitch roofs  (less than 30 degree),,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,154,source_published_record,source_published_record_unreviewed
Design roof structure with a maximum spacing of 600 mm between trusses and rafters.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,155,source_published_record,source_published_record_unreviewed
Prefabricate roof structures on ground to minimise work at height,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,156,source_published_record,source_published_record_unreviewed
"Where practical, consider including a permanent safety mesh underneath the roof.",,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,157,source_published_record,source_published_record_unreviewed
Provide re-bars in skylight frame to avoid fall if skylight should break.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,158,source_published_record,source_published_record_unreviewed
The fragile roof area should be enclosed by permeant guardrails.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,159,source_published_record,source_published_record_unreviewed
Install permanent anchorage points on roof slabs to provide permanent tie-offs points for fall arrest systems.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,160,source_published_record,source_published_record_unreviewed
A permanent warning sign to be fixed near the area where the roof is covered with fragile material.,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,161,source_published_record,source_published_record_unreviewed
Consider alternatives to tube and fitting scaffoldings. ,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,162,source_published_record,source_published_record_unreviewed
Make provisions for scaffolding or anchors.,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,163,source_published_record,source_published_record_unreviewed
Inform designers to provide the information required to help the temporary works coordinator,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,164,source_published_record,source_published_record_unreviewed
Consider potential for designing temporary works which can become permanent i.e. do not require removal,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,165,source_published_record,source_published_record_unreviewed
A metal bracket is permanently connected to a concrete floor deck or steel.,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,166,source_published_record,source_published_record_unreviewed
"Scaffolds should be designed, erected, altered and dismantled only by competent people and the work should always be carried out under the direction of a competent supervisor.",,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,167,source_published_record,source_published_record_unreviewed
Ensure that the preferred solution takes advantage of new developments in access equipment.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,168,source_published_record,source_published_record_unreviewed
